"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message"
"0";"1";"None";"AfricaDataSchool";"seed";"";"";"None";"None";"";""
"1";"2";"1";"286856161977529_927350537928085";"data";"data.*";"fetched (200)";"2022-03-17 15:02:16.696384";"Facebook:/<page-id>/posts";"";"Digital marketing is the component of marketing that uses internet and online based digital technologies such as desktop computers, mobile phones and other digital media and platforms to promote products and services. April intake is Ongoing"
"1";"3";"1";"286856161977529_927314587931680";"data";"data.*";"fetched (200)";"2022-03-17 15:02:16.696384";"Facebook:/<page-id>/posts";"";"The Africa Data School community invites you to our virtual Open day Wednesday 4th May 2022 from 4:00 pm to 5:00 pm EAT. Don't miss out #100DaysOfCode #DataScience #Python #100DaysOfPython #100DaysOfMLCode"
"1";"4";"1";"286856161977529_927295304600275";"data";"data.*";"fetched (200)";"2022-03-17 15:02:16.696384";"Facebook:/<page-id>/posts";"";"Become a Digital Marketer  Digital Marketing Bootcamp Online  Apply: https://africadataschool.com/digital-marketing.html"
"1";"5";"1";"286856161977529_926768291319643";"data";"data.*";"fetched (200)";"2022-03-17 15:02:16.696384";"Facebook:/<page-id>/posts";"";"Native applications are mobile apps that are designed for a particular operating system (OS). Since they work in line with the integral mechanisms of mobile devices, they create a ""natural"" feeling. Users are more likely to find the look and usage of these apps convenient. #mobiledevelopment"
"1";"6";"1";"286856161977529_926757707987368";"data";"data.*";"fetched (200)";"2022-03-17 15:02:16.696384";"Facebook:/<page-id>/posts";"";"Machine learning is a branch of artificial intelligence (AI) and computer science which focuses on the use of data and algorithms to imitate the way that humans learn, gradually improving its accuracy."
"1";"7";"1";"286856161977529_926130618050077";"data";"data.*";"fetched (200)";"2022-03-17 15:02:16.696384";"Facebook:/<page-id>/posts";"";"Fundamentals of Deep Learning Instructor-Led Workshop | NVIDIA DLI by The NVIDIA Deep Learning Institute (DLI) and Africa Data School. April 7th 9:30 AM - 5:30PM"
"1";"8";"1";"286856161977529_926085218054617";"data";"data.*";"fetched (200)";"2022-03-17 15:02:16.696384";"Facebook:/<page-id>/posts";"";"Foundations of Data Science using Python Get to perform Analysis & visualizations on the data and advance to  Machine learning, Deep learning, NLP & Big data basics on our intensive program. April Intakes Ongoing. #Data #datascience"
"1";"9";"1";"286856161977529_925622098100929";"data";"data.*";"fetched (200)";"2022-03-17 15:02:16.696384";"Facebook:/<page-id>/posts";"";"Web development is the work involved in developing a website for the Internet or an intranet. Web development can range from developing a simple single static page of plain text to complex web applications, electronic businesses, and social network services. #WebDevelopment #coding"
"1";"10";"1";"286856161977529_925616134768192";"data";"data.*";"fetched (200)";"2022-03-17 15:02:16.696384";"Facebook:/<page-id>/posts";"";"Artificial intelligence is intelligence demonstrated by machines, as opposed to natural intelligence displayed by animals including humans. Leading AI textbooks define the field as the study of ""intelligent agents"": any system that perceives its environment and takes actions that maximise its chances of achieving its goals. #artificialintellegence"
"1";"11";"1";"286856161977529_925194758143663";"data";"data.*";"fetched (200)";"2022-03-17 15:02:16.696384";"Facebook:/<page-id>/posts";"";"Take the next step on your graphic design journey. Get to explore a wide range of topics, tools, techniques and principles to become a stronger designer and improve your graphic design portfolio in our classes. April intake is Ongoing #graphicdesign"
"1";"12";"1";"286856161977529_925182898144849";"data";"data.*";"fetched (200)";"2022-03-17 15:02:16.696384";"Facebook:/<page-id>/posts";"";"Build a Career in Finance, Healthcare, Data Science, Business, Marketing and More. Learn from all around Africa on our Flexible,  online programs. April Intakes are Ongoing #100daysofcodechallenge #100DaysOfMLCode #DataScience #coding"
"1";"13";"1";"286856161977529_925173528145786";"data";"data.*";"fetched (200)";"2022-03-17 15:02:16.696384";"Facebook:/<page-id>/posts";"";"Curiosity in Data Science. Ask the right questions in a data. #datascience"
"1";"14";"1";"286856161977529_923924038270735";"data";"data.*";"fetched (200)";"2022-03-17 15:02:16.696384";"Facebook:/<page-id>/posts";"";"Data privacy, an area of data protection that concerns the proper handling of sensitive data including, notably, personal data but also other confidential data, such as certain financial data and intellectual property data, to meet regulatory requirements as well as protecting the confidentiality and immutability of the data.  #data #DataPrivacy"
"1";"15";"1";"286856161977529_923412828321856";"data";"data.*";"fetched (200)";"2022-03-17 15:02:16.696384";"Facebook:/<page-id>/posts";"";"Data Analysis the science of examining data to draw conclusions about the information to make decisions or expand knowledge on various subjects. It consists of subjecting data to operations. This process happens to obtain precise conclusions to help us achieve our goals, such as operations that cannot be previously defined since data"
"1";"16";"1";"286856161977529_923374934992312";"data";"data.*";"fetched (200)";"2022-03-17 15:02:16.696384";"Facebook:/<page-id>/posts";"";"A data model is an abstract model that organises elements of data and standardises how they relate to one another and to the properties of real-world entities. For instance, a data model may specify that the data element representing a car be composed of a number of other elements which, in turn, represent the colour and size of the car and define its owner."
